k,mode,recall_mean,recall_std,precision_mean,precision_std,mrr_mean,mrr_std
3,flat,0.27285714285714285,0.29732638671956935,0.24,0.26116779430099213,0.48,0.47337261502231115
3,hierarchical,0.34375,0.4230451495781039,0.17361111111111108,0.206164837230608,0.3194444444444444,0.4006987592517334
5,flat,0.32852380952380955,0.31464129029958304,0.18,0.18182745801939793,0.498,0.45858700463088414
5,hierarchical,0.453125,0.3919650478037086,0.1625,0.13467849818118863,0.3746527777777778,0.367551954857142
10,flat,0.42538095238095236,0.32644294812463714,0.11599999999999999,0.099713876380658,0.5144444444444445,0.44240461603974346
10,hierarchical,0.5434027777777778,0.4057031310402411,0.10000000000000002,0.074376843799781,0.38202711640211645,0.36097833490506953
